RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Shri - Rooftop Restaurant & Lounge,10.7826100000000,106.6974270000000,"Lầu 23 Centec Tower, 72 - 74 Nguyễn Thi Minh Khai, Quận 3, TP. HCM","Nhà hàng, Café/Dessert, ","Rượu vang, Thức uống, Thịt Cừu, ","Món Á, Món Âu, ",09:00 - 23:59,09:00 - 23:59,09:00 - 23:59,09:00 - 23:59,09:00 - 23:59,09:00 - 23:59,09:00 - 23:59,no,yes,yes,300.000 -660.000,8.6,8.7,9.2,8.8,258
2,The Sushi Bar - Thiên Quế - Hai Bà Trưng,10.7853420000000,106.6942670000000,"179B Hai Bà Trưng, P. 6, Quận 3, TP. HCM","Nhà hàng, ","Món nước, Mì, Sushi & Sashimi, ","Món Nhật, ","11:00 - 14:30, 17:00 - 22:30","11:00 - 14:30, 17:00 - 22:30","11:00 - 14:30, 17:00 - 22:30","11:00 - 14:30, 17:00 - 22:30","11:00 - 14:30, 17:00 - 22:30","11:00 - 14:30, 17:00 - 22:30","11:00 - 14:30, 17:00 - 22:30",yes,yes,yes,100.000 -330.000,7.7,7.2,7.3,7.3,423
3,Au Lac Do Brazil - Thịt Nướng Brazil - Pasteur,10.7851720000000,106.6906840000000,"238 Pasteur, P. 6, Quận 3, TP. HCM","Nhà hàng, Buffet, ","Thịt Gà, Tôm, Thịt Bò, Hải sản, Thịt Cừu, Xúc xích, ","Brazil, Châu Mỹ, ","11:00 - 14:00, 17:00 - 22:30","11:00 - 14:00, 17:00 - 22:30","11:00 - 14:00, 17:00 - 22:30","11:00 - 14:00, 17:00 - 22:30","11:00 - 14:00, 17:00 - 22:30","11:00 - 14:00, 17:00 - 22:30","11:00 - 14:00, 17:00 - 22:30",no,yes,no,39.000 -850.000,9.6,9.6,9.6,9.6,654
4,Oromia Coffee - Nam Kỳ Khởi Nghĩa,10.7864664000000,106.6871420000000,"193A/D3 Nam Kỳ Khởi Nghĩa, Quận 3, TP. HCM","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Thức uống, ","Món Việt, ",,,,,,,,no,no,yes,36.000 -146.000,7.8,7.9,8.6,7.7,"1,219"
5,Jumbo Seafood - Nguyễn Đình Chiểu,10.7811098816105,106.6920676122863,"172 Nguyễn Đình Chiểu, P. 6, Quận 3, TP. HCM","Nhà hàng, ",,,"11:00 - 14:00, 17:00 - 22:00","11:00 - 14:00, 17:00 - 22:00","11:00 - 14:00, 17:00 - 22:00","11:00 - 14:00, 17:00 - 22:00","11:00 - 14:00, 17:00 - 22:00","11:00 - 14:00, 17:00 - 22:00","11:00 - 14:00, 17:00 - 22:00",no,no,no,100.000 -1.500.000,9.6,9.6,9.6,9.6,940
6,Fly Cupcake Tú Xương,10.7822570000000,106.6881680000000,"25B Tú Xương, P. 7, Quận 3, TP. HCM","Café/Dessert, Tiệm bánh, ","Cupcake, Bánh - Kẹo, Café - Kem, Sinh tố - Nước ép, Ăn vặt - Ăn nhẹ, Thức uống, ","Món Việt, ",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,yes,yes,yes,40.000 -115.000,6.9,6.6,8.1,7.0,471
7,Sushi Tei - Cao Thắng,10.7692610000000,106.6833160000000,"26 Cao Thắng, P. 5, Quận 3, TP. HCM","Nhà hàng, ","Bún, Mì, Sushi & Sashimi, Salad, ","Món Á, Món Nhật, ",,,,,,,,no,yes,yes,40.000 -500.000,9.7,9.7,9.7,9.7,585
8,El Sol - Meat & Wine - Võ Thị Sáu,10.7876920000000,106.6914110000000,"140/2 Võ Thị Sáu, Quận 3, TP. HCM","Nhà hàng, ","Thịt Gà, Thịt Bò, Bún, Thịt Heo, Hải sản, Món nước, Salad, Cơm, ","Quốc tế, ",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,no,no,yes,35.000 -349.000,8.5,8.5,8.3,8.2,790
9,Beefsteak Nam Sơn - Nguyễn Thị Minh Khai,10.7759860000000,106.6907860000000,"200 Bis Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM","Nhà hàng, Quán ăn, ","Thịt Bò, Beefsteak - Bò né, ","Món Việt, ",08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,no,yes,no,50.000 -110.000,6.8,6.6,6.7,6.7,"1,457"
10,Sumo BBQ - Cao Thắng - Buffet Nướng & Lẩu,10.7705650000000,106.6811300000000,"59B Cao Thắng, Quận 3, TP. HCM","Nhà hàng, Buffet, ","Thịt Gà, Gà rán, Nấm, Thịt Heo, Thịt Bò, Hải sản, Sườn nướng, Món nước, Lẩu, Chân cánh gà nướng, Thức uống, ","Món Á, Món Nhật, ",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,no,yes,yes,239.000 -378.000,7.6,7.2,7.4,7.3,346
